hour,TV1,inc_lights,microwave,hairdryer,CFL_lights,fan,blender,grinder,washer,pump
1,0,0,0,0,0,1,0,0,0,1
2,0,0,0,0,0,1,0,0,0,1
3,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,1,0,0,0,1
5,0,0,0,10,20,1,20,0,0,1
6,0,0,0,50,60,1,20,0,0,1
7,10,10,0,80,0,1,20,1,1,1
8,10,10,40,80,0,1,10,1,1,1
9,10,10,0,40,0,1,5,1,1,1
10,10,10,0,10,0,1,5,1,1,1
11,0,0,90,0,90,1,5,1,1,1
12,10,10,90,0,90,1,5,1,1,1
13,10,10,10,0,10,1,5,1,1,1
14,20,20,5,0,5,1,5,1,1,1
15,30,30,5,0,5,1,10,1,1,1
16,40,40,5,0,5,1,50,1,1,1
17,40,40,0,0,5,1,60,1,1,1
18,60,60,0,20,5,1,50,1,0,1
19,70,70,0,20,90,1,30,1,0,1
20,90,90,0,20,80,1,80,0,0,1
21,90,90,0,10,10,1,50,0,0,1
22,0,0,0,5,5,1,10,0,0,1
23,0,0,0,0,5,1,0,0,0,1
24,0,0,0,0,5,1,0,0,0,1
occurrences,3,5,3,5,4,4,6,5,2,10
